,Nombre,Precio,Precio por m2
0,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
1,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
2,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
3,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
4,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
5,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
6,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
7,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
8,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
9,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
10,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
11,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
12,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
13,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
14,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
15,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
16,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
17,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
18,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
19,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
20,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
21,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
22,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
23,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
24,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
25,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
26,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
27,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
28,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
29,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
30,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
31,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
32,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
33,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
34,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
35,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
36,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
37,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
38,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
39,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
40,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
41,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
42,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
43,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
44,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
45,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
46,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
47,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
48,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
49,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
50,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
51,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
52,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
53,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
54,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
55,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
56,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
57,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
58,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
59,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
60,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
61,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
62,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
63,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
64,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
65,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
66,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
67,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
68,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
69,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
70,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
71,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
72,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
73,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
74,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
75,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
76,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
77,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
78,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
79,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
80,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
81,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
82,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
83,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
84,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
85,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
86,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
87,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
88,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
89,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
90,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
91,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
92,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
93,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
94,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
95,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
96,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
97,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
98,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
99,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
100,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
101,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
102,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
103,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
104,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
105,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
106,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
107,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
108,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
109,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
110,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
111,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
112,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
113,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
114,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
115,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
116,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
117,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
118,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
119,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
120,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
121,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
122,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
123,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
124,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
125,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
126,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
127,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
128,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
129,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
130,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
131,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
132,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
133,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
134,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
135,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
136,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
137,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
138,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
139,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
140,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
141,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
142,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
143,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
144,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
145,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
146,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
147,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
148,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
149,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
150,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
151,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
152,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
153,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
154,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
155,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
156,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
157,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
158,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
159,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
160,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
161,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
162,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
163,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
164,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
165,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
166,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
167,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
168,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
169,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
170,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
171,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
172,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
173,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
174,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
175,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
176,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
177,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
178,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
179,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
180,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
