,Nombre,Precio,Precio por m2
181,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
182,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
183,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
184,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
185,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
186,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
187,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
188,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
189,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
190,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
191,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
192,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
193,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
194,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
195,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
196,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
197,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
198,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
199,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
200,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
201,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
202,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
203,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
204,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
205,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
206,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
207,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
208,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
209,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
210,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
211,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
212,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
213,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
214,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
215,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
216,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
217,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
218,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
219,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
220,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
221,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
222,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
223,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
224,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
225,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
226,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
227,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
228,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
229,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
230,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
231,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
232,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
233,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
234,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
235,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
236,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
237,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
238,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
239,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
240,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
241,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
242,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
243,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
244,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
245,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
246,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
247,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
248,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
249,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
250,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
251,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
252,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
253,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
254,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
255,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
256,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
257,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
258,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
259,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
260,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
261,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
262,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
263,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
264,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
265,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
266,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
267,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
268,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
269,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
270,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
271,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
272,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
273,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
274,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
275,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
276,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
277,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
278,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
279,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
280,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
281,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
282,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
283,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
284,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
285,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
286,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
287,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
288,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
289,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
290,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
291,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
292,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
293,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
294,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
295,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
296,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
297,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
298,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
299,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
300,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
301,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
302,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
303,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
304,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
305,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
306,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
307,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
308,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
309,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
310,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
311,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
312,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
313,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
314,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
315,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
316,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
317,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
318,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
319,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
320,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
321,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
322,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
323,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
324,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
325,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
326,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
327,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
328,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
329,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
330,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
331,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
332,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
333,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
334,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
335,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
336,Redland Renown Tile - Concrete Tile - Smooth Slate Grey (1501),2.45,23.77
337,Marley Double Roman Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
338,Redland Regent Tile - Concrete Tile - Smooth Farmhouse Red (3401),2.57,24.93
339,Marley Acme Double Camber Clay Plain Tiles (Pack of 12 Tiles),   13.33 ,
340,Sandtoft Neo Pantile - Clay Tile - Antique Slate,3.48,
341,Marley Lincoln Interlocking Clay Pantiles (Pack of 88 Tiles),   204.92 ,
342,Tapco Synthetic Slate Tile - Pewter Grey (25 Pack),63.48,45.71
343,Britmet - LiteSlate - Lightweight Synthetic Tile - Slate (Pack of 22),50.39,41.23
344,Guardian Synthetic Slate Roof Tile - Slate Grey (Pack of 22),52.80,43.20
345,Britmet - Slate 2000 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.04,21.79
346,Britmet - Profile 49 - Lightweight Metal Roof Tile - Titanium Grey (0.45mm),10.63,22.11
347,Britmet - Villatile - Lightweight Metal Roof Tile - Rustic Terracotta (0.45mm),10.22,23.00
348,Redland 49 Tile - Concrete Tile - Smooth Premier Rustic Red (1101),1.78,29.01
349,Marley Modern Interlocking Concrete Roof Tiles (Pack of 32 Tiles),   63.67 ,
350,Coroshingle - Roof Shingles - Slate Grey (2m2 Pack - 14 Shingle Strips),30.42,15.21
351,Coroshingle - Roof Shingles - Red (2m2 Pack - 14 Shingle Strips),30.42,15.21
352,Coroshingle - Roof Shingles - Green (2m2 Pack - 14 Shingle Strips),30.42,15.21
353,Britmet - Plaintile Plus - Lightweight Metal Roof Tile - Moss Green (0.9mm),8.75,43.75
354,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.18
355,Britmet - Slate 2000 Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.18
356,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Titanium Grey (0.9mm),14.37,31.33
357,Britmet - Ultratile Plus - Lightweight Metal Roof Tile - Rustic Brown (0.9mm),14.37,31.33
358,Britmet - Villatile Plus - Lightweight Metal Roof Tile - Bramble Brown (0.9mm),14.57,32.78
359,Britmet - Profile 49 Plus - Lightweight Metal Roof Tile - Rustic Terracotta (0.9mm),14.96,31.12
